16	1e-06	5e-06	1e-06	1e-06
196	6.6e-05	5.1e-05	2.6e-05	2.9e-05
576	0.000192	0.000128	9.5e-05	7.8e-05
1156	0.001026	0.00037	0.000249	0.000298
1936	0.002214	0.000681	0.000458	0.000521
2916	0.006503	0.001527	0.001141	0.001205
2916	0.008144	0.002017	0.001491	0.001616
5476	0.023024	0.004337	0.003568	0.003714
7056	0.033629	0.006254	0.004989	0.005235
8836	0.048856	0.008621	0.007189	0.007442
10816	0.076017	0.012703	0.010751	0.011136
